english|hindi_concept|type|japanese|hirangana|pronunciation|example_eng|example_jap
shortcut_1||noun|ショートカット|しょーとかっと|sho-tokatto_1|create a shortcut to the desktop|デスクトップ上にショートカットを作成する
shortcut_2||noun|近道|ちかみち|chikamichi_1|take a shortcut to the store|店まで近道で行く
shorten_1|CotA+kara|verb|短くする|みじかくする|mijikakusuru_1|shorten one's pants by 3 cm|ズボンを3センチ短くする
shorten_2|CotA+kara|verb|縮める|ちぢめる|chidsimeru_1|shorten one's life|寿命を縮める
shorten_3|CotA+kara|verb|短縮する|たんしゅく|tanshuku_1|shorten the work period|仕事期間を短縮する
shortfall_1||noun|不足|ふそく|fusoku_1|energy shortfall|エネルギー不足
shortfall_2||noun|赤字|あかじ|akaji_1|budget shortfall|財政赤字
shorthand_1||noun|速記|そっき|sokki_1|shorthand notebook|速記ノート
shortish_1||adjective|やや短い|ややみじかい|yayamijikai_1|shortish skirt|やや短いスカート
shorts_1||noun|ショーツ|しょーつ|sho-tsu_1|emerge from a bathroom in one's shorts|風呂場からショーツ姿で現れる
shorts_2||noun|ショートパンツ|しょーとぱんつ|sho-topantsu_1|tuck one's hands in the pockets of one's shorts|両手をショートパンツのポケットに押し込む
shorts_3||noun|短パン|たんぱん|tanpan_1|shorts for summer|夏用の短パン
shortsighted_1||adjective|近視の|きんしの|kinshino_1|shortsighted old woman|近視の年老いた女性
shortsighted_2||adjective|近視眼的|きんしがんてき|kinshiganteki_1|shortsighted plan|近視眼的な計画
shortstop_1||noun|遊撃手|ゆうげきしゅ|yuugekishu_1|shortstop position|遊撃手の位置
shortstop_2||noun|ショート|しょーと|sho-to_1|shortstop position|ショートゴロでアウトになる
shot_1|SAta|noun|銃声|じゅうせい|juusei_1|The shot echoed through the hills.|銃声は山々にこだました。
shot_2|SAta|noun|写真|しゃしん|shashin_1|cover shot|全景写真
shot_3|SAta|noun|ショット|しょっと|shotto_1|practice golf shots|ゴルフショットの練習をする
shotgun_1||noun|ショットガン|しょっとがん|shottogan_1|armed with a shotgun|ショットガンを持って
shotgun_2||noun|散弾銃|さんだんじゅう|sandanjuu_1|fire a shotgun|散弾銃を発砲する
should_1||suffix|～すべきだ|～すべきだ|~subeki da_1|You should go home, if you don't feel well.|気分が悪ければ、帰るべきですよ。
should_2||suffix|～のはずだ|～のはずだ|~no hazu da_1|Two spoonfuls of coffee should be enough.|スプーン2杯分のコーヒーは足りるはずだ。
shoulder_1|kamIjZa+kA+kazXA,kaMXA,kazXA+para+uTA|noun|肩|かた|kata_1|Give me a shoulder massage.|肩のマッサージをして下さい。
shout_1|cillA,haMkAra|noun|歓声|かんせい|kansei_1|with shouts of triumph|勝利の歓声を上げて
shout_2|cillA,haMkAra|noun|叫び声|さけびごえ|sakebigoe_1|"awakened by shouts of ""Fire!"""|「火事だ！」という叫び声で目が覚める
shout_3|cillA,haMkAra|noun|叫び|さけび|sakebi_1|exultant shout|狂喜の叫び
shout_4|cillA,haMkAra|verb|叫ぶ|さけぶ|sakebu_1|Someone shouted at me.|誰かが私に叫んだ。
shout_5|cillA,haMkAra|verb|怒鳴る|どなる|donaru_1|shout at one's students|生徒に怒鳴る
shove_1|Tela,Xakela,XakiyA,XakkA|verb|強く押す|つよくおす|tsuyokuosu_1|shove someone in the back|人の背中を強く押す
spruce_1|CabIlA,narama+lakadZI+jo+pepara+banAne+meM+iswemAla+howI+hE,sprUsa+vqkRa|adjective|きちんとした|きちんとした|kichintoshita_1|spruce appearance|きちんとした姿
sprue_1||noun|スプルー|すぷるー|supuru-_1|tropical sprue|熱帯性スプルー
spume_1||noun|泡|あわ|awa_1|soft spume|柔らかい泡
spun_1||adjective|スパン|すぱん|supan_1|spun glass|スパンガラス
spunk_1||noun|勇気|ゆうき|yuuki_1|pure spunk|純粋な勇気
spur_1|CotA+raswA,edZa,parvawa+skanXa|noun|拍車|はくしゃ|hakusha_1|put spurs to a horse|馬に拍車をかける
spurious_1|KotA,kqwrima,nakZalI,prAwirUpika|adjective|類似|るいじ|ruiji_1|spurious goods|類似品
spurious_2|KotA,kqwrima,nakZalI,prAwirUpika|adjective|偽造|ぎぞう|gizou_1|spurious document|偽造文書
spurious_3|KotA,kqwrima,nakZalI,prAwirUpika|adjective|誤った|あやまった|ayamatta_1|spurious discussion|誤った議論
spurn_1||verb|拒む|こばむ|kobamu_1|spurn the possibility|可能性を拒む
spurn_2||verb|きっぱり拒絶する|きっぱりきょぜつする|kipparikyozetsusuru_1|spurn an offer|申し出をきっぱり拒絶する
spurt_1|sPuraNa|noun|高騰|こうとう|koutou_1|spurt in oil price|石油価格の高騰
sputnik_1||noun|スプートニク|すぷーとにく|supu-toniku_1|Sputnik I|スプートニク１号
sputter_1|uwwejiwa+ho+kara+bola|verb|早口に言う|はやくちにいう|hayakuchi ni iu_1|sputter in surprise|驚いて早口に言う
spy_1|BexiyA,cara,gupwacara,jAsUsa,KZuPZiyA,sI.|noun|スパイ|すぱい|supai_1|execute someone as a spy|人をスパイとして処刑する
spyglass_1||noun|見張り望遠鏡|みはりぼうえんきょう|miharibouenkyou_1|beside a spyglass|見張り望遠鏡のそばで
squabble_1|wInapAzca|noun|小競り合い|こぜりあい|kozeriai_1|squabble between men|男同士の小競り合い
squabble_2|wInapAzca|noun|争い|あらそい|arasoi_1|partisan squabble|党派間の争い
squad_1|xaswA|noun|隊|たい|tai_1|emergency squad|救急隊
squadron_1|skvAdZarana|noun|艦隊|かんたい|kantai_1|combined squadron|連合艦隊
squalid_1||adjective|むさ苦しい|むさくるしい|musakurushii_1|squalid place|むさくるしい場所
squall_1||noun|スコール|すこーる|suko-ru_1|monsoon squall|雨季のスコール
squander_1||verb|無駄遣いする|むだづかいする|mudadsukaisuru_1|squander natural resources|天然資源を無駄遣いする
squander_2||verb|浪費する|ろうひ|rouhi_1|squander on bettings|賭け事に浪費する
square_1|acCA+vyavahAra,barAbara+kara,cOka,ijAjawa+le,murabbA,petaBara+Bojana,samakoNa+banA,vargAkAra,varga+mItara,vargaPala|noun|四角|しかく|shikaku_1|round and square|丸と四角
squash_1|skvASa,wiraskAra+kara,XakiyA+kara+Gusa|verb|押しつぶす|おしつぶす|oshitsubusu_1|squash a package|包装を押しつぶす
squashy_1||adjective|フカフカした|ふかふかした|fukafukashita_1|squashy bed|フカフカしたベッド
squat_1|avEXa+rUpa+se+basa+jA,bETa|noun|しゃがむ|しゃがむ|shagamu_1|squat behind a tree|木の後ろにしゃがむ
squawk_1||noun|やかましい鳴き声|やかましいなきごえ|yakamashiinakigoe_1|squawk of chickens|鶏のやかましい鳴き声
squeak_1|caramara,caramarA,caramarAhata,ciciyA,cIKZa,cIKZa,cillA,cUz|noun|きしみ|きしみ|kishimi_1|floor squeak|床のきしみ
squeal_1||verb|キャーキャー言う|きゃーきゃーいう|kya-kya-iu_1|squeal in excitement|興奮してキャーキャー言う
squeeze_1|nicodZa,xuha|verb|絞る|しぼる|shiboru_1|squeeze juice from an orange|オレンジから果汁を絞る
squelch_1||verb|抑える|おさえる|osaeru_1|squelch a sugar craving|甘いものを食べたい欲求を抑える
squid_1|samuxraPenI|noun|イカ|いか|ika_1|dried squid|乾燥イカ
squint_1|aXaKulI+AzKoM+se+xeKa,BeMgApana|verb|目を細めて見る|めをほそめてみる|me o hosomete iu_1|squint into the sun|目を細めて太陽を見る
squire_1|jZamInaxAra|noun|地主|じぬし|jinushi_1|local squire|地方の地主
squirm_1||verb|もじもじする|もじもじする|mojimojisuru_1|squirm with embarrassment|恥ずかしくてもじもじする
squirmy_1||adjective|もがく|もがく|mogaku_1|squirmy kitten|もがく子猫
squirrel_1|gilaharI|noun|リス|りす|risu_1|keep a squirrel in a cage|カゴでリスを飼う
squirt_1|PuhArA+mAra|verb|噴出させる|ふんしゅつさせる|funshutsu saseru_1|squirt water from a toy gun|おもちゃの銃から水を噴出させる
squirt_2|PuhArA+mAra|verb|浴びせる|あびせる|abiseru_1|squirt someone in the face with water|人の顔に水を浴びせる
saint_1|saMwa,sAXu|noun|聖人|せいじん|seijin_1|behave like a saint|聖人のように振舞う
sake_1|ke+liye,sAke|noun|目的|もくてき|mokuteki_1|for safety's sake|安全目的で
salacious_1|kAmuka|adjective|みだらな|みだらな|midarana_1|salacious movie scene|みだらな映画の場面
salad_1|salAxa|noun|サラダ|さらだ|sarada_1|Caesar salad|シーザーサラダ
salamander_1||noun|サンショウウオ|さんしょううお|sanshouuo_1|terrestrial salamander|陸生のサンショウウオ
salami_1|masAlexAra+laMgocA|noun|サラミ|さらみ|sarami_1|pepper salami|ペッパーサラミ
salaried_1|vEwanika,vEwanika,wanaKZAhaxAra,wanaKZAhaxAra|adjective|サラリー|さらりー|sarari-_1|salaried worker|サラリーマン
salaried_2|vEwanika,vEwanika,wanaKZAhaxAra,wanaKZAhaxAra|adjective|有給|ゆうきゅう|yuukyuu_1|salaried job|有給職
salary_1|pagAra,vewana,walaba,wanaKvAha|noun|給料|きゅうりょう|kyuuryou_1|high salary|高い給料
salary_2|pagAra,vewana,walaba,wanaKvAha|noun|給与|きゅうよ|kyuuyo_1|salary calculation|給与計算
sale_1|baya,becAna,bikrI,Kapawa,vikraya|noun|販売|はんばい|hanbai_1|sale by recommendation|推奨販売
sale_2|baya,becAna,bikrI,Kapawa,vikraya|noun|売り|うり|uri_1|split sale|分割売り
sale_3|baya,becAna,bikrI,Kapawa,vikraya|noun|セール|せーる|se-ru_1|super-discount sale|超特価セール
saleslady_1||noun|女性店員|じょせいてんいん|joseitenin_1|talk to a saleslady|女性店員に話しかける
salesman_1|vikrewA|noun|セールスマン|せーるすまん|se-rusuman_1|traveling salesman|巡回セールスマン
salesperson_1||noun|販売員|はんばいいん|hanbaiin_1|car salesperson|自動車販売員
salient_1|muKya|adjective|目立った|めだった|medatta_1|salient fact|目立った事実
salient_2|muKya|adjective|顕著|けんちょ|kencho_1|salient point|顕著な点
saline_1|KArA,lavaNIya,namakIna,nunaKarA|noun|食塩水|しょくえんすい|shokuensui_1|saturated saline|飽和食塩水
saliva_1|lAra,rAla,WUka|noun|唾液|だえき|daeki_1|component of saliva|唾液の成分
sallow_1||adjective|血色の悪い|けっしょくのわるい|kesshokunowarui_1|sallow face|血色の悪い顔
sally_1||noun|突撃|とつげき|totsugeki_1|brief sally|短期間の突撃
salmon_1|sAmana|noun|鮭|さけ|sake_1|fresh wild salmon|新鮮な天然の鮭
salon_1|nAI+kI+xUkAna|noun|サロン|さろん|saron_1|nail salon|ネイルサロン
saloon_1|maxirAlaya,sElUna|noun|サロン|さろん|saron_1|aesthetic saloon|エステ･サロン
salt_1|lavaNa,lUNa,namaka,nona,rAmarasa|noun|塩|しお|shio_1|salt and pepper|塩と胡椒
salty_1|KArA,lonA,namakIna|adjective|塩辛い|しおからい|shiokarai_1|salty food|塩辛い食べ物
salty_2|KArA,lonA,namakIna|adjective|しょっぱい|しょっぱい|shoppai_1|This soup is so salty.|このスープ、とてもしょっぱいよ。
salubrious_1|supaWya|adjective|健康に良い|けんこうによい|kenkouniyoi_1|salubrious lifestyle|健康に良い生活
salutary_1||adjective|ためになる|ためになる|tameninaru_1|salutary influence|ためになる影響
salutation_1|AxAba,AxAbaarjZa,baMxagI,mujarA,namaskAra,praNAma,salAma,salAmI,sijaxA,vaMxanA,wasalIma|noun|挨拶|あいさつ|aisatsu_1|bow in salutation|挨拶にお辞儀をする
salute_1|aBivAxana+kara,nama|verb|敬礼する|けいれい|keirei_1|salute the national flag|国旗に敬礼する
salvage_1|ubAra|verb|引き揚げる|ひきあげる|hikiageru_1|salvage a vessel|船を引き揚げる
salvageable_1||adjective|救出可能な|きゅうしゅつかのうな|kyuushutsukanouna_1|salvageable number of people|救出可能な人数
salvation_1|brahyapaxa,gawi,mocana,mokRa,mukwawA,mukwi,najAwa,niRkqwi,nirvANa,paramArWa,parinivqwwi,pariwrANa,sugawi,uxXAra,wrANa|noun|救済|きゅうさい|kyuusai_1|source of salvation|救済の源
salve_1|pralepa|verb|和らげる|やわらげる|yawarageru_1|salve someone's guilt|罪の意識を和らげる
salve_2|pralepa|verb|なだめる|なだめる|nadameru_1|salve someone's feelings|人の気持ちをなだめる
salve_3|pralepa|noun|軟膏|なんこう|nankou_1|sunburn salve|日焼け用の軟膏
salvo_1|bADZa|noun|一斉攻撃|いっせいこうげき|isseikougeki_1|return salvo|報復の一斉攻撃
samarium_1||noun|サマリウム|さまりうむ|samariumu_1|metallic samarium|金属サマリウム
samba_1||noun|サンバ|さんば|sanba_1|dance a samba|サンバを踊る
same_1||adjective|同じ|おなじ|onaji_1|same person|同じ人
same_2||prefix|同～|どう～|dou~_1|They work at the same company.|彼らは同社で働いている。
sample_1|bAnagI,namUnA,prawixarSa,sEMpala|noun|サンプル|さんぷる|sanpuru_1|blood sample|血液サンプル
sabbatical_1||noun|長期有給休暇|ちょうきゆうきゅうきゅうか|choukiyuukyuukyuuka_1|take a sabbatical|長期有給休暇をとる
sabotage_1|aMwarXvaMsa,wodZaPodZa,wodZa-PodZa|verb|妨害する|ぼうがい|bougai_1|sabotage the ceasefire|停戦を妨害する
sac_1||noun|嚢|のう|nou_1|aortic sac|大静脈嚢
sack_1|borA,nikAla+xe,WElA|noun|袋|ふくろ|fukuro_1|paper sack|紙袋
sacrament_1|saMskAra|noun|聖餐|せいさん|seisan_1|last sacrament|臨終の聖餐
sacred_1|mukZaxxasa,muwabariMka,pAka,pAvana,paviwra,punIwa,Suci,SuxXa|adjective|神聖|しんせい|shinsei_1|sacred Christmas music|神聖なクリスマスソング
sacrifice_1|Ahuwi,bali,balihArI,balixAna,caDAvA,kZurabAnI,kZurbAnI,maKa,meXa,nyo,pariwyAga,saxakZA,uwsarga,wyAga,wyAga,yajFa|verb|犠牲にする|ぎせいにする|giseinisuru_1|sacrifice everything|全てを犠牲にする
sacrifice_2|Ahuwi,bali,balihArI,balixAna,caDAvA,kZurabAnI,kZurbAnI,maKa,meXa,nyo,pariwyAga,saxakZA,uwsarga,wyAga,wyAga,yajFa|verb|捧げる|ささげる|sasageru_1|sacrifice a sheep to God|神に羊を捧げる
sacrifice_3|Ahuwi,bali,balihArI,balixAna,caDAvA,kZurabAnI,kZurbAnI,maKa,meXa,nyo,pariwyAga,saxakZA,uwsarga,wyAga,wyAga,yajFa|noun|犠牲|ぎせい|gisei_1|require sacrifice|犠牲を求める
sacrificial_1||adjective|いけにえの|いけにえの|ikenieno_1|sacrificial lamb|いけにえの羊
sacrificial_2||adjective|献身的|けんしんてき|kenshinteki_1|sacrificial nature|献身的な性格
sacrilege_1||noun|冒涜|ぼうとく|boutoku_1|commit sacrilege|冒涜を犯す
sacrilegious_1||adjective|冒涜するような|ぼうとくするような|boutokusuruyouna_1|sacrilegious outrage|冒涜するような行為
sacrosanct_1||adjective|極めて神聖な|きわめてしんせいな|kiwameteshinseina_1|sacrosanct ceremony|極めて神聖な儀式
sad_1|bahuwa+burA,Kinna,raMjIxA,uxAsa,xuHKI|adjective|悲しい|かなしい|kanashii_1|sad story|悲しいストーリー
sad_2|bahuwa+burA,Kinna,raMjIxA,uxAsa,xuHKI|adjective|悲痛|ひつう|hitsuu_1|sad death|悲痛な死
sad_3|bahuwa+burA,Kinna,raMjIxA,uxAsa,xuHKI|adjective|残念|ざんねん|zannen_1|The situation is sad.|残念な状況です。
sadden_1||verb|悲しませる|かなしませる|kanashimaseru_1|sadden one's parents|両親を悲しませる
saddle_1|Asana,jIna,jZIna,kATI,pITa+kA+pAracA|noun|鞍|くら|kura_1|ladies' saddle|女性用の鞍
saddlebag_1||noun|サドルバッグ|さどるばっぐ|sadorubaggu_1|curry a saddlebag|サドルバッグを持ち歩く
sadism_1||noun|サディズム|さでぃずむ|sadizumu_1|sexual sadism|性的サディズム
sadist_1|parapIdZaka|noun|サディスト|さでぃすと|sadisuto_1|sexual sadist|性的サディスト
sadness_1|KinnawA,raMja,uxAsI|noun|悲しみ|かなしみ|kanashimi_1|share sadness with his family|悲しみを家族に分かち合う
safari_1||noun|サファリ|さふぁり|safari_1|go on safari|サファリに出かける
safe_1|nirApaxa,sakuSala,salAmawa,sePZa,sePZa,wijorI|adjective|安全|あんぜん|anzen_1|safe control|安全管理
safe_2|nirApaxa,sakuSala,salAmawa,sePZa,sePZa,wijorI|adjective|治安が良い|ちあんがよい|chiangayoi_1|safe country|治安が良い国
safe_3|nirApaxa,sakuSala,salAmawa,sePZa,sePZa,wijorI|adverb|無事|ぶじ|buji_1|return safe|無事戻る
safe_4|nirApaxa,sakuSala,salAmawa,sePZa,sePZa,wijorI|noun|金庫|きんこ|kinko_1|household-use safe|家庭内金庫
safeguard_1|raKavAI,rakRA+upAya,surakRiwa+kara|noun|保護|ほご|hogo_1|proper safeguard|適切な保護
safekeeping_1||noun|保管|ほかん|hokan_1|fee for safekeeping|保管手数料
safety_1|bacAva,KEriyawa,kuSalawA,nirApaxawA,salAmawI|noun|安全性|あんぜんせい|anzensei_1|safety of medicines|薬品の安全性
saffron_1|jogiyA,jZAPZarAna,kesara,kuMkuma|noun|サフラン|さふらん|safuran_1|natural saffron|天然サフラン
sag_1||noun|たるみ|たるみ|tarumi_1|sag of one's cheeks|頬のたるみ
saga_1||noun|英雄伝|えいゆうでん|eiyuuden_1|incredible saga|信じられない英雄伝
sagacious_1|akZlamaMxa,buxXimAna,nIwicawura,nIwijFa,nIwikuSala,nIwinipuNa,xUraxarSI|adjective|聡明|そうめい|soumei_1|sagacious writer|聡明な作家
sagacity_1|akZlamaMxI,buxXikOSala,buxXimAnI,xUraxarSiwA|noun|洞察力|どうさくりょく|dousatsuryoku_1|sharp sagacity|鋭い洞察力
sage_1|kapUra+kA+pawwA,mahAwmA,qRi,wrikAlaxarSI,xraRtA|noun|賢人|けんじん|kenjin_1|wisdom of a sage|賢人の知恵
sagebrush_1||noun|ヤマヨモギ|やまよもぎ|yamayomogi_1|damaged sagebrush|損傷したヤマヨモギ
sago_1|sAbUxAnA|noun|サゴ|さご|sago_1|sago starch|サゴでんぷん
said_1|BARiwa,kaWiwa,majZakUra,ukwa|adjective|前述の|ぜんじゅつの|zenjutsuno_1|said accident|前述の事件
sail_1|jalayAwrA+kara,pAla,pAra+kara,ravAnA+ho|noun|帆|ほ|ho_1|with all sails set|帆を全部張って
sailboat_1||noun|ヨット|よっと|yotto_1|sailboat race|ヨットレース
sailor_1|mallAha,mAzJI,nAvaka,nAvika,powavAha|noun|船員|せんいん|senin_1|foreign sailor|外国人船員
sympathetic_1|kAruNika,sahAnuBUwipUrNa,sahAnuBUwiSIla,sahAnuBUwisUcaka|adjective|同情的|どうじょうてき|doujouteki_1|sympathetic look|同情的な顔つき
sympathetic_2|kAruNika,sahAnuBUwipUrNa,sahAnuBUwiSIla,sahAnuBUwisUcaka|adjective|交感神経|こうかんしんけい|koukanshinkei_1|sympathetic root|交感神経根
sympathy_1|anuciMwana,hamaxarxI,sahAnuBUwi,samavexanA,xilasojZI|noun|共感|きょうかん|kyoukan_1|garner worldwide sympathy and support|世界中の共感と支援を集める
sympathy_2|anuciMwana,hamaxarxI,sahAnuBUwi,samavexanA,xilasojZI|noun|同情|どうじょう|doujou_1|real sympathy|心からの同情
symphonic_1|svarasaMgawi+kA+yA+jEsA|adjective|交響曲の|こうきょうきょくの|koukyoukyokuno_1|symphonic concert|交響曲のコンサート
symphony_1||noun|交響曲|こうきょうきょく|koukyoukyoku_1|classical symphony|クラシックの交響曲
symposium_1|nibanXa+saMgraha,paricarcA,parisaMvAxa,saMgoRTI,vicAra+goRTI|noun|討論会|とうろんかい|touronkai_1|fruitful symposium|実りのある討論会
symposium_2|nibanXa+saMgraha,paricarcA,parisaMvAxa,saMgoRTI,vicAra+goRTI|noun|シンポジウム|しんぽじうむ|shinpojiumu_1|educational symposium|教育シンポジウム
symptom_1|alAmawa,AsAra,lakRaNa,rogalakRaNa|noun|兆候|ちょうこう|choukou_1|symptom of a deeper illness|より深刻な病の兆候
symptom_2|alAmawa,AsAra,lakRaNa,rogalakRaNa|noun|症状|しょうじょう|shoujou_1|symptom of a common cold|風邪の症状
symptom_3|alAmawa,AsAra,lakRaNa,rogalakRaNa|noun|兆し|きざし|kizshi_1|symptom of aging|老化の兆し
symptomatic_1|lakRaNAwmaka|adjective|症候性|しょうこうせい|shoukousei_1|symptomatic asthma|症候性喘息
synagogue_1|yahUxI+saBAGara+yA+prArWanA+Bavana|noun|しなごーぐ|しなごーぐ|shinago-gu_1|traditional synagogue|伝統的なシナゴーグ
synapse_1||noun|シナプス|しなぷす|shinapusu_1|electric synapse|電気シナプス
synchronism_1|wulyakAlawva|noun|同期|どうき|douki_1|orbital synchronism|軌道同期
synchronous_1|samakAlika|adjective|同期|どうき|douki_1|synchronous action|同期作用
synchronous_2|samakAlika|adjective|同時|どうじ|douji_1|synchronous movement|同時運動
synchrotron_1||noun|シンクロトロン|しんくろとろん|shinkurotoron_1|compact synchrotron|小型シンクロトロン
syncopated_1||adjective|シンコペーションの|しんこぺーしょんの|shinkope-shonno_1|syncopated beat|シンコペーションのリズム
syndicate_1|prakASana+hewu+saMGa+banA,siMdiketa,vyavasAya+saMGa|noun|企業連合|きぎょうれんごう|kigyourengou_1|international syndicate|国際企業連合
syndicate_2|prakASana+hewu+saMGa+banA,siMdiketa,vyavasAya+saMGa|noun|シンジケート|しんじけーと|shinjike-to_1|banking syndicate|銀行シンジケート
syndrome_1||noun|シンドローム|しんどろーむ|shindoro-mu_1|environmental syndrome|環境シンドローム
syndrome_2||noun|症候群|しょうこうぐん|shoukougun_1|adaptation syndrome|適応症候群
synergism_1|sAhacarya|noun|相乗|そうじょう|soujou_1|synergism effect|相乗効果
synergistic_1||adjective|相乗的|そうじょうてき|soujouteki_1|synergistic influence|相乗的影響
synergy_1|sAhacarya|noun|シナジー|しなじー|shinaji-_1|operational synergy|運用シナジー
synod_1||noun|教会会議|きょうかいかいぎ|kyoukaikaigi_1|Lutheran Church-Missouri Synod|ルター派ミズーリ教会会議
synonym_1|paryAya,prawiSabxa,samAnArWa|noun|同義語|どうぎご|dougigo_1|perfect synonym|全くの同義語
synonym_2|paryAya,prawiSabxa,samAnArWa|noun|類語|るいご|ruigo_1|dictionary of synonyms|類語辞典
synonym_3|paryAya,prawiSabxa,samAnArWa|noun|類義語|るいぎご|ruigigo_1|Yuujin' is a synonym of 'Tomodachi'.|友人は友達の類義語です。
synonymous_1|samAnArWaka,samArWa|adjective|同義的|どうぎてき|dougiteki_1|synonymous expression|同義的表現
synopsis_1|rUpareKA|noun|概要|がいよう|gaiyou_1|project synopsis|プロジェクトの概要
synopsis_2|rUpareKA|noun|筋書き|すじがき|sujigaki_1|prepare a synopsis|筋書きを準備する
synoptic_1||adjective|概要の|がいようの|gaiyouno_1|synoptic document|概要書
syntactic_1|vAkyagawa|adjective|統語的|とうごてき|tougoteki_1|syntactic mistake|統語的誤り
syntax_1|vAkyaracanA,vAkya+racanA,vAkyavijFAna|noun|構文|こうぶん|koubun_1|have syntax errors|構文の誤りがある
syntax_2|vAkyaracanA,vAkya+racanA,vAkyavijFAna|noun|文法|ぶんぽう|bunpou_1|follow the syntax|文法に従う
syntax_3|vAkyaracanA,vAkya+racanA,vAkyavijFAna|noun|シンタックス|しんたっくす|shintakkusu_1|syntax of the language|言語のシンタックス
syntax_4|vAkyaracanA,vAkya+racanA,vAkyavijFAna|noun|統語法|とうごほう|tougohou_1|ergative syntax|能核型統語法
synthesis_1|saMSleRa,saMSleRaNa|noun|合成|ごうせい|gousei_1|synthesis of cholesterol|コレステロール合成
synthesis_2|saMSleRa,saMSleRaNa|noun|統合|とうごう|tougou_1|experimental synthesis|実験的統合
synthetic_1|kqwrima,sAMSleRika,saMSliRta|adjective|人工|じんこう|jinkou_1|synthetic hair|人口毛
synthetic_2|kqwrima,sAMSleRika,saMSliRta|adjective|合成|ごうせい|gousei_1|synthetic fuel|合成燃料
syringe_1|picakArI|noun|注射器|ちゅうしゃき|chuushaki_1|plastic syringe|プラスチック注射器
syrup_1|cASanI,Sarabawa,Sarbawa,SIrA|noun|シロップ|しろっぷ|shiroppu_1|Strawberry syrup|イチゴシロップ
syrupy_1|BAvukawApUrNa,cASanI+jEsA|adjective|ベタベタに甘い|べたべたにあまい|betabetaniamai_1|syrupy musical|ベタベタに甘いミュージカル
system_1|krama,nikAya,paxXawi,pEMdZa,praNAlI,saMhawi,silasilA,viXi,vyavasWA,waMwra|noun|システム|しすてむ|sisutemu_1|system of the future|未来のシステム
system_2|krama,nikAya,paxXawi,pEMdZa,praNAlI,saMhawi,silasilA,viXi,vyavasWA,waMwra|noun|系|けい|kei_1|system of vessels|血管系
system_3|krama,nikAya,paxXawi,pEMdZa,praNAlI,saMhawi,silasilA,viXi,vyavasWA,waMwra|noun|体系|たいけい|taikei_1|system of thought|思想体系
system_4|krama,nikAya,paxXawi,pEMdZa,praNAlI,saMhawi,silasilA,viXi,vyavasWA,waMwra|noun|制度|せいど|seido_1|advertising system|広告制度
system_5|krama,nikAya,paxXawi,pEMdZa,praNAlI,saMhawi,silasilA,viXi,vyavasWA,waMwra|noun|組織|そしき|soshiki_1|agency system|代理店組織
systematic_1|Anvayika,sAnubaMGa,SrqMKaliwa,vyavasWiwa|adjective|組織的|そしきてき|soshikiteki_1|systematic strategy|組織的戦略
systematic_2|Anvayika,sAnubaMGa,SrqMKaliwa,vyavasWiwa|adjective|体系的|たいけいてき|taikeiteki_1|systematic semantics|体系的意味論
systematic_3|Anvayika,sAnubaMGa,SrqMKaliwa,vyavasWiwa|adjective|系統的|けいとうてき|keitouteki_1|systematic structure|系統的構造
systemic_1||adjective|全身性|ぜんしんせい|zenshinsei_1|systemic analgesic|全身性鎮痛剤
systemic_2||adjective|システムの|しすてむの|shisutemuno_1|systemic framework|システムの枠組み
swell_1|baDa,PUla,PUla+jA,sUja,sUja|verb|膨張する|ぼうちょう|bouchou_1|swell at room temperature|室温で膨張する
swell_2|baDa,PUla,PUla+jA,sUja,sUja|verb|腫れる|はれる|hareru_1|a wound swells|傷が腫れる
sweltering_1||adjective|うだるような|うだるような|udaruyouna_1|sweltering heat|うだるような暑さ
swerve_1|diga|verb|それる|それる|soreru_1|swerve from the road|道路からそれる
swift_1|ASu,ASu,wurawa,wvariwa,wvariwa,xruwa,xruwa|adjective|急速|きゅうそく|kyuusoku_1|swift economic growth|急速な経済成長
swift_2|ASu,ASu,wurawa,wvariwa,wvariwa,xruwa,xruwa|adjective|迅速|じんそく|jinsoku_1|Thanks for the swift response.|迅速な対応に感謝します。
swig_1||verb|がぶ飲みする|がぶのみする|gabunomisuru_1|swig straight out of the bottle of wine|ワインをボトルから直接がぶ飲みする
swim_1|pEra,wEra,wEra|verb|泳ぐ|およぐ|oyogu_1|swim in a swimming pool|スイミングプールで泳ぐ
swimming_1|plavana,plavana,wErAkI,wErAkI,wEranA,wEranA|noun|水泳|すいえい|suiei_1|a swimming pool|水泳プール
swindle_1|carakA,XoKA+xe|noun|詐欺|さぎ|sagi_1|stock swindle|株式詐欺
swindle_2|carakA,XoKA+xe|verb|騙し取る|だましとる|damashitoru_1|swindle a large sum of money from the company|会社から大金を騙し取る
swine_1||noun|豚|ぶた|buta_1|domestic swine|家畜豚
swine_2||noun|打撃|だげき|dageki_1|take a swipe at the ball|ボールに打撃を与える
swing_1|bilaMganA,dola,JoMka,JulA,JUla,JUlA,JUla,JUmawe+hue+cala,latakA,paga,peMga,pEMga,ramaka|verb|振る|ふる|furu_1|swing a bat|バットを振る
swipe_1|anXAXunXa+mAra|verb|カードを通す|かーどをとおす|ka-dowotoosu_1|swipe a card through a reader|読み取り機にカードを通す
swirl_1|Bazvara,cakkara+KAwe+hue+udZa|verb|グルグル回す|ぐるぐるまわす|gurugurumawasu_1|add the oil and swirl pan around|油を加えてフライパンをグルグル回す
